author,published_at,updated_at,like_count,text
@suharti8834,2023-12-14T01:20:11Z,2023-12-14T01:20:11Z,0,Bukan hanya warga Aceh. Kami seluruh Rakyat Indonesia MENOLAK KERAS IMIGRAN GELAP ROHINGNYA.  Ini bukan tentang kemanusiaan tapi tentang kedaulatan Indonesia. Mereka bukan datang sebagai pengungsi tapi tinggal selamanya di Indonesia.. TOLAK DAN USIR ROHINGNYA.
@bpcgos,2023-12-14T00:43:25Z,2023-12-14T00:43:25Z,2,"They probably thought Indonesia is the country that would give them asylum, but we actually never ratified any of agreement regarding to refugee with UNHCR, we just temporarily accept them before UNHCR settled them in the country that receive them."
@zafir7007,2023-12-14T00:36:40Z,2023-12-14T00:36:40Z,0,"As a Malaysian, I truly understand the Indonesian. We have 500,000 Rohingya refugees.......very problematic people."
@Banana-sq1hl,2023-12-14T00:19:00Z,2023-12-14T00:19:00Z,0,"they are not refuges they are illegal imigran even if they are refuges they should be verified first from UNHCR they are not verified and enter our country illegally, they are not even from myanmar, they pay $300~$1000 each person to the people smugling syndicate to help them enter Indonesia."
@mr.anonim8573,2023-12-13T23:42:35Z,2023-12-13T23:42:45Z,1,Rohingya have bad attitude !!!
@personarebellia6775,2023-12-13T23:40:31Z,2023-12-13T23:41:07Z,0,"Al Jazeera can only report on those that are visible and receive low-quality gossip. Rohingya were accepted in 2015 but they made a lot of chaos that caused conflict among Acehnese people as in Malaysia, Rohingya only made chaos after chaos even to the point of asking for land. We Indonesians do not want something like what happened in our brother country Malaysia to be repeated here.<br>Rohingya also come not as refugees victims of war, but they come as illegal immigrants with human trafficking intermediaries whose profits reach 3 billion rupiah in this shipment.<br>Many Rohingya are fleeing in shelters as they await their final journey to Malaysia and Singapore.<br>Try to gather the real news instead of just collecting cheap gossips among you, to lead international public opinion in the wrong direction."
@user-lk5ye9ul3m,2023-12-13T22:56:43Z,2023-12-13T22:56:43Z,1,"Indonesia is a better place for them to live, don&#39;t come to Malaysia plz."
@pojoksolusi6280,2023-12-13T22:28:59Z,2023-12-13T22:28:59Z,0,"ini bukan pengungsi tapi imigran gelap yang suka buang sampah +berak sembarangan,orangnya susah diatur,pemalas,beranak banyak tapi tidak memikirkan masa depan anaknya &amp; agama cuma dipakai kedok untuk memuluskan pindahnya"
@Asuardi,2023-12-13T22:06:35Z,2023-12-13T22:06:35Z,0,"We can not accept the refugees anymore, they should go backt to Myanmar, our Duty is to push myanmar Goverment to accept them again, if they dont want to, UNO must send UN Soldier Troop to protect them in Myanmar . That is the best solution."
@IndoArabCouple,2023-12-13T21:42:18Z,2023-12-13T21:42:18Z,0,"They might be another Israel in someone’s land. Fact those people already make the local angry. They welcomed them at first but they can’t integrate with the local, throw the food they have and did Violence, rape and stealing. So what UNCR wants now ? They are more like Bangladesh I think it’s more suitable for them rather than Indonesia"
@yoga2901,2023-12-13T21:26:14Z,2023-12-13T21:26:14Z,0,"For those of you who corner Indonesia, please bring Rohingya refugees home to your country, Indonesia has NEVER ratified the UN convention on refugees, we have no obligation to accept and accommodate them. And for Indonesian citizens who want to accept the Rohingya, please accept them but not in Indonesia, there are still many poor Indonesians who need attention. 😠"
@atiptauhid188,2023-12-13T20:43:14Z,2023-12-13T20:43:14Z,0,Dulu masyarakat aceh menerima rohingya banyak yg membantu tp lama lama banyak yg kurang tertib bahkan banyak yg ngelunjak..wajarlah skrg masyarakat aceh menolak rohingya...buat media Jazeera jgn menyalahkan Indonesia 🇮🇩 bila perlu kamu saja yg menampung rohingya 😂
@rvslaazzor3778,2023-12-13T17:55:02Z,2023-12-13T17:55:02Z,0,Stop using word refugees to illegal immigrants. They have money to pay the illegal agency to move and cellphone.
@aangsoebakti,2023-12-13T17:52:11Z,2023-12-13T17:52:11Z,0,Im sorry..Their attitude is bad.
@msoleh2636,2023-12-13T17:23:47Z,2023-12-13T17:23:47Z,0,"Pelarian Rohingya kurang ajar! banyak tanaman pohon di curi orang Rohingya,,mereka beranak Pinak tidak punya adab, ingin makan gratis minum gratis,, sementara berak atau buang air besar tidak mau membersihkan Kanya , sangat kurang ajar,,sebaik nya anda lihat di kondisi lapangan,, kelakuan buruk etnis Rohingya itu menentang kaidah dan syari&#39;at Islam,,merekalah bikin asusila,, sehingga rakyat Aceh menderita,, mereka bertambah banyak,dan mencuri buah buahan warga Aceh,!!!!"
@Juan-ci6vc,2023-12-13T17:08:50Z,2023-12-13T17:09:08Z,0,"The elephant in the room: Rohingyas definitely have strong South Asianess embedded in them which unfortunately clashes with a lot of Southeast Asian customs and society, regardless of religion."
@aryans2582,2023-12-13T16:27:05Z,2023-12-13T16:27:05Z,0,Muslim ummah 😅
@pendi17,2023-12-13T16:05:25Z,2023-12-13T16:05:25Z,0,GO AWAY FROM INDONESIA !!!! GOOO AWAYY !!!
@dangging,2023-12-13T16:01:54Z,2023-12-13T16:01:54Z,0,"In the meantime, affluent individuals in the UK are expelling asylum seekers from their countries (see BBC news today). Indonesia has rejected them because many asylum seekers attempted to reach third countries and were promised assistance by UNHCR. Many of them remain (15,000) in Indonesia after more than 10 years. Furthermore, we have not ratified the 1951 convention (unlike UK). UNHCR has merely pressured us to accept them, providing us with minimal financial support. In fact, a UNHCR representative mentioned that Rohingya children had gone without food for 8 hours. However, here in Indonesia, we still grapple with issues of malnourished children. Some of them have not had a meal in over a day."
@BohengBeban,2023-12-13T15:43:16Z,2023-12-13T15:43:16Z,0,"This phenomenon is a form of human trafficking, because there is a smuggling agent behind it"
@kaihara-br4do,2023-12-13T15:41:50Z,2023-12-13T15:41:50Z,0,"Indonesia has more than 17,000 island . They can’t spare one for these outcast ?"
@adhikm1885,2023-12-13T15:29:08Z,2023-12-13T15:29:08Z,0,They should back to their country..
@ShotAndGollChanel,2023-12-13T14:37:55Z,2023-12-13T14:37:55Z,2,Cerdas bro ini tuh permainan barat biar kita di pecah belah dan menjauhkan dari isu palestina.
@ericdsid3718,2023-12-13T14:28:47Z,2023-12-13T14:28:47Z,0,they are not a refugees but illegal imigrant. there&#39;s a diffrence here. take all of them if you can take care of them in your country but not in indonesia. UNHCR and IOM are SCAM AF !!
@hendyvanruslan7897,2023-12-14T07:35:51Z,2023-12-14T07:35:51Z,0,No more refuges<br>😑😑😑
@armandochristian4241,2023-12-13T13:41:06Z,2023-12-13T13:41:06Z,0,Only a stupid country is willing to accept refugees of different religions and cultures who can cause problems for their own country and nation. It would be much wiser if refugees were accommodated and handled in their own country by creating a refugee zone under the UN flag.
@shintapurnamasari5221,2023-12-13T12:12:30Z,2023-12-13T12:12:30Z,1,Kami menolak imigran gelap.Tolong hormati keputusan kami.Tidak rela negara kami mereka injak
@HyunKi_457,2023-12-11T13:31:48Z,2023-12-11T13:31:48Z,0,"They are causing chaos in Indonesia, they don&#39;t know whether they are 100% stranded refugees? We couldn&#39;t believe it, we were stranded in Aceh on purpose"
@konstantinospantelis9681,2023-12-09T03:32:32Z,2023-12-09T03:32:32Z,1,"Rohingya are Muslims. Indonesian are also Muslims. Muslims always say all Muslims are like brothers and sisters. If Indonesian do not help Rohingya, how you would expect other countries who are not Muslims to help these poor Muslims????"
@fnstudio3913,2023-12-08T17:25:53Z,2023-12-08T17:25:53Z,0,Usir rohingya &amp; yahudi pesek dari NKRI!!
@yanasmm4429,2023-12-08T06:11:45Z,2023-12-08T06:11:45Z,0,"<a href=""http://www.youtube.com/results?search_query=%23indonesiarejectsrohingya"">#IndonesiaRejectsRohingya</a>"
@johanjohanseregar9134,2023-12-06T07:49:44Z,2023-12-06T07:49:44Z,0,"Usir penjajah berkedok pengungsi. Bubarkan UNHCR Indonesia. Mogok bayar pajak, pemilu pemerintah harus mengembalikan imigran ilegal."
@ksatria9463,2023-12-05T10:31:08Z,2023-12-05T10:31:08Z,0,Penjajahan yang terorganisir....
@myh-sl3vh1zk1k,2023-12-04T10:45:14Z,2023-12-04T10:45:14Z,0,Welcome❤
@Fauna468,2023-12-02T05:21:25Z,2023-12-02T05:21:25Z,0,Ternyata cukong dan mavia pengungsi rohing KETAKUTAN  KLU KAPALNYA  DIANCAM MAU DI BAKAR..... gitu aja kok repot
@venkateswararao416,2023-12-01T14:31:58Z,2023-12-01T14:31:58Z,2,Inviting danger.
